name,type,category,hotelClass,priceLevel,priceRange,latitude,longitude,addressObj_city,addressObj_country,locationString,rating,numberOfReviews,rankingPosition,rankingString,rawRanking,aiReviewsSummary,description,reviewTags_0_text,reviewTags_1_text,reviewTags_2_text,reviewTags_3_text,reviewTags_4_text,reviewTags_5_text,reviewTags_6_text,reviewTags_7_text,reviewTags_8_text,reviewTags_9_text,roomTips_0_text,roomTips_1_text,amenities_list,priceRange_clean,priceLevel_numeric,aiReviewsSummary_is_missing,reviewTags_combined,roomTips_combined,ranking_clean
Villa Seminyak Estate & Spa,HOTEL,hotel,4.0,$,$53 - $106,-8.695494,115.17191,Seminyak,Indonesia,"Seminyak, Kuta District, Bali",4.3,1555,28,#28 of 139 hotels in Seminyak,4.69597291946411,"Villa Seminyak Estate & Spa is a tropical retreat that garners positive feedback for its ample amenities, including private pools and indulgent spa treatments, set within picturesque gardens. The hotel's location is a hit with guests for its tranquility and easy access to local conveniences. While the spacious rooms are a highlight, some guests feel that cleanliness could be improved. The staff's friendly service often receives commendations, adding a personal touch to the visitor experience. Moreover, the hotel's value is well-regarded, with many travelers finding the rates reasonable for the quality of services and experiences offered.","Villas Bali: Villa Seminyak Estate & Spa awaits you with a combination of traditional and Luxury private pool villas with private swimming pools, is the perfect group or family villa, Honeymoon, Holidays, and vacation choice for a memorable get together with friends or for your family holiday.",private pool,bintang supermarket,the main street,banana pancakes,buffet breakfast,every morning,staff were amazing,first trip to bali,our honeymoon,mariani,Private villa and pool was a perfect option for us and our small family of three,Get the room with a private pool. Use Bluebird taxis to get around as nice and cheap.,"Room service, Pool, Restaurant, Suites, Free parking, Internet, Free Internet, Bar/Lounge, Kitchenette, Wifi, Free Wifi, Shuttle Bus Service, Spa, Airport transportation, Breakfast included, Dry Cleaning, Meeting rooms, Non-smoking rooms, Laundry Service, Concierge, Banquet Room, Air conditioning, Family Rooms, Multilingual Staff, Refrigerator in room, Safe, Flatscreen TV, Breakfast Buffet, Poolside Bar, Private Balcony, Butler Service, Outdoor pool, Private Pools, Additional Bathroom, Baggage Storage, Breakfast in the Room, Couples Massage, Evening Entertainment, Facial Treatments, Foot Massage, Complimentary Instant Coffee, Full Body Massage, Indonesian, Ironing Service, Massage, Pool / Beach Towels, 24-Hour Security, Sun Umbrellas, Beach Access",79.5,1.0,0,"private pool, bintang supermarket, the main street, banana pancakes, buffet breakfast, every morning, staff were amazing, first trip to bali, our honeymoon, mariani",Private villa and pool was a perfect option for us and our small family of three Get the room with a private pool. Use Bluebird taxis to get around as nice and cheap.,28
Harris Hotel Seminyak,HOTEL,hotel,4.0,$,$36 - $42,-8.689517,115.16381,Seminyak,Indonesia,"Seminyak, Kuta District, Bali",4.3,2316,27,#27 of 177 hotels in Seminyak,4.70501518249511,"Harris Hotel Seminyak is often celebrated for its prime location within easy reach of beaches and nightlife, with guests enjoying the strategic spot. The ambiance strikes many as cozy, fostering a relaxing environment underscored by the hotel's modern charm. Staff members at Harris Hotel Seminyak receive accolades for their attentive and professional service, contributing to a welcoming stay. While the rooms are generally appreciated for their cleanliness and comfort, the occasional noise and space constraints have been noted. Additionally, guests have called out the value of staying here, acknowledging the convenient amenities like the praised breakfast spread and clean pools, even if some find the pool area to be on the smaller side.","HARRIS Seminyak offers 231 rooms, meeting rooms, HARRIS Cafe, HARRISSIMO Pizza, Juice bar, Fitness center, Swimming pool, H'spa, Happy Feet reflexology, Dino Kid's Club and a boutique. Last but not least, Internet is free throughout the hotel's premises. We, at HARRIS Seminyak, look forward to welcoming you in Bali",flying pool,nice hotel,budget hotel,pool access,nice stay,the main street,pools,bali,gym,buggy,If you want a relaxing quiet place to stay this is not it. It’s cheap and it’s cheap for a reason. Paper thin walls.,Nothing really but please make sure about the maintenance of the doors locks because our one wasn't locked  and we called for help and everything went well :))))))))))),"Internet, Free Internet, Wifi, Free Wifi, Pool, Kids Activities, Shuttle Bus Service, Room service, Free parking, Restaurant, Bar/Lounge, Spa, Airport transportation, Public Wifi, Dry Cleaning, Meeting rooms, Non-smoking rooms, Business center, Fitness center, Laundry Service, Concierge, Banquet Room, Air conditioning, Multilingual Staff, Minibar, Conference Facilities, Non-smoking hotel, Safe, Rooftop Pool, Flatscreen TV, Breakfast Buffet, Private Balcony, Outdoor pool, Breakfast Available, Parking, Free Shuttle or Taxi Services, Facilities for Disabled Guests, Housekeeping, Kids Club, Baggage Storage, Car Hire, 24-Hour Check-in, Doorperson, Complimentary Instant Coffee, 24-Hour Front Desk, Indonesian, Ironing Service, Malay, Massage, 24-Hour Security, Taxi Service, Beach Access",39.0,1.0,0,"flying pool, nice hotel, budget hotel, pool access, nice stay, the main street, pools, bali, gym, buggy",If you want a relaxing quiet place to stay this is not it. It’s cheap and it’s cheap for a reason. Paper thin walls. Nothing really but please make sure about the maintenance of the doors locks because our one wasn't locked and we called for help and everything went well :))))))))))),27
The Leaf Jimbaran,HOTEL,hotel,4.5,$,$45 - $133,-8.798104,115.14988,Jimbaran,Indonesia,"Jimbaran, South Kuta, Bali",4.3,526,22,#22 of 127 hotels in Jimbaran,4.36698818206787,"The Leaf Jimbaran is celebrated for its luxurious amenities, including private and public pools, varied dining options, a spa, and a shuttle service, though some guests have pointed out maintenance issues. Nestled in a quiet, secluded area, the hotel's location requires transportation due to remoteness and poor road conditions, leading to mixed views on its value. Guests laud the hotel's elegant atmosphere and commend the staff's warm hospitality. The cleanliness of the hotel is consistently praised, as are the spacious rooms with private pools, despite some concerns over upkeep.","The Leaf Jimbaran is a private luxury resort, tastefully furnished and elegantly decorated with a modern touch. The Leaf Jimbaran ensures enough privacy to embrace the sense of intimacy yet offers plenty of interesting activities to enliven your days, no matter how long you stay in Bali.",private pool,staff were exceptional,we loved our stay,main pool,bedroom villa,our honeymoon,welcome drink,spearmint,mosquitoes,massage,Take advantage of the free shuttle to the beach as not much of interest in immediate area.,The villa hotel is incredible I would say there is a small downside nothing is to be sold so you have to rent scooters to move a little,"Pool, Internet, Shuttle Bus Service, Suites, Room service, Free Internet, Free parking, Wheelchair access, Restaurant, Bar/Lounge, Kitchenette, Spa, Airport transportation, Wifi, Free Wifi, Breakfast included, Dry Cleaning, Non-smoking rooms, Fitness center, Laundry Service, Concierge, Air conditioning, Family Rooms, Multilingual Staff, Refrigerator in room, Babysitting, Safe, Rooftop Bar, Flatscreen TV, Breakfast Buffet, Private Balcony, Outdoor pool, Private Pools, Breakfast Available, Parking, Free Shuttle or Taxi Services, Facilities for Disabled Guests, 24-Hour Check-in, Complimentary Tea, Couples Massage, Facial Treatments, Foot Massage, Complimentary Instant Coffee, Full Body Massage, Head Massage, Indonesian, Ironing Service, Massage, Pool / Beach Towels, 24-Hour Security, Sun Loungers / Beach Chairs, Sun Umbrellas, Taxi Service",89.0,1.0,0,"private pool, staff were exceptional, we loved our stay, main pool, bedroom villa, our honeymoon, welcome drink, spearmint, mosquitoes, massage",Take advantage of the free shuttle to the beach as not much of interest in immediate area. The villa hotel is incredible I would say there is a small downside nothing is to be sold so you have to rent scooters to move a little,22
COMO Uma Ubud Bali,HOTEL,hotel,5.0,$$$,$249 - $315,-8.491695,115.25405,Kedewatan,Indonesia,"Kedewatan, Ubud, Gianyar Regency, Bali",4.8,2029,4,#4 of 6 resorts in Kedewatan,4.7662706375122,"COMO Uma Ubud in Bali garners high praise for its impeccable service, with staff consistently recognized for their friendliness and professionalism. The hotel's cleanliness and well-maintained facilities also receive commendations, ensuring guests enjoy pristine surroundings. While opinions on value vary, the luxurious touches and quality amenities, including delectable dining options, beautiful pools, and spa services, are often celebrated. The serene and elegantly modern atmosphere offers a tranquil haven amidst lush greenery. Its prime location affords easy access to Ubud's cultural heart, yet it remains a peaceful retreat. However, some guests mention the rooms might feel slightly dated and may not suit everyone's taste.","COMO Uma Ubud is located in central Bali, close to the cultural hub of Ubud with tropical views of temples, rice paddies and the Tjampuhan Valley. The resort’s contemporary Asiatic design is pared down to ensure sunshine flows through interiors, from bedrooms to cooling plunge pools. Kemiri restaurant boasts world-class, healthful cuisine, created with fresh local ingredients, subtle spicing and distinct Balinese flavours. A signature COMO Shambhala Retreat, replete with a range of holistic wellness therapies, help to nurture and relax, while cultural activities, such as visits to artisans, are complemented by a range of outdoor pursuits, including white-water rafting, mountain biking and trekking.",terrace room,morning walk,our honeymoon,pool villa,daily yoga,koi pond,pool bar,healthy options,yoga studio,boutique hotel,"If you can stay longer in the resort, do it. We stayed for a couple of nights and we didn't want to leave. ","Even though it was the rainy season, we had a great time! Cheaper rates and less crowds","Pool, Free parking, Internet, Room service, Free Internet, Restaurant, Wifi, Free Wifi, Fitness center, Suites, Breakfast included, Shuttle Bus Service, Bar/Lounge, Spa, Airport transportation, Public Wifi, Dry Cleaning, Non-smoking rooms, Laundry Service, Concierge, Air conditioning, Family Rooms, Multilingual Staff, Refrigerator in room, Minibar, Non-smoking hotel, Safe, Flatscreen TV, Breakfast Buffet, Poolside Bar, Private Balcony, Infinity Pool, Outdoor pool, Private Pools, Breakfast Available, Parking, Free Shuttle or Taxi Services, Housekeeping, Baggage Storage, Bathrobes, Bicycle Tours, Breakfast in the Room, Car Hire, 24-Hour Check-in, Complimentary Tea, Couples Massage, Doorperson, English, Entertainment Staff, Facial Treatments, Fitness Classes, Fitness / Spa Locker Rooms, Foot Massage, Complimentary Instant Coffee, 24-Hour Front Desk, Full Body Massage, Head Massage, Hiking, Indonesian, Ironing Service, Massage, Pool / Beach Towels, Salon, 24-Hour Security, Shops, Snack Bar, Special Diet Menus, Sun Loungers / Beach Chairs, Sun Terrace, Sun Umbrellas, Taxi Service, Wake Up Service / Alarm Clock",282.0,3.0,0,"terrace room, morning walk, our honeymoon, pool villa, daily yoga, koi pond, pool bar, healthy options, yoga studio, boutique hotel","If you can stay longer in the resort, do it. We stayed for a couple of nights and we didn't want to leave. Even though it was the rainy season, we had a great time! Cheaper rates and less crowds",4
Suarga Padang Padang,HOTEL,hotel,4.0,$$$,$247 - $302,-8.811154,115.10465,Pecatu,Indonesia,"Pecatu, Bukit Peninsula, Bali",4.4,646,12,#12 of 58 hotels in Pecatu,4.2212061882019,"Nestled near Padang Padang Beach, Suarga Padang Padang is commended for its stunning views and tranquil atmosphere, although it's not without occasional noise and amenity concerns. While the hotel's serene and sustainable ambiance is a highlight, some guests feel it falls short on value, pointing to overpriced services. The attentive staff receives accolades, but slow service has been noted. Cleanliness is a strong suit, with spotless rooms and grounds. Room opinions are divided over design and comfort versus practical issues. The pools and views are popular, despite Wi-Fi woes and extra charges.","Gracefully terraced along the dramatic cliffs of Bali’s fabled southern peninsula,Suarga Padang Padang is a sustainable boutique resort with 36 rooms,pavilions & villas.A contemporary restaurant and inspiring lounge bar showcase breathtaking ocean views. Thoughtfully conceptualized to promote social-environmental awareness,modern luxury blends effortlessly with a minimal impact on the environment.",padang padang,bamboo structure,recycled wood,air conditioning system,welcome drink,infinity pool,the hotel manager,rooms are beautiful,little things,main pool,"Check reviews, confirm manager availability, have a backup, and document issues for refund claims.",Wifi is a bit bad - but everything else is 10/10.,"Free Wifi, Pool, Internet, Beachfront, Suites, Room service, Free Internet, Free parking, Restaurant, Bar/Lounge, Airport transportation, Public Wifi, Breakfast included, Dry Cleaning, Non-smoking rooms, Laundry Service, Concierge, Air conditioning, Multilingual Staff, Refrigerator in room, Non-smoking hotel, Safe, Breakfast Buffet, Poolside Bar, Private Balcony, Infinity Pool, Outdoor pool, Private Pools, Housekeeping, Bottled Water, Car Hire, Couples Massage, English, Facial Treatments, Foot Massage, Full Body Massage, Hair Dryer, Head Massage, Indonesian, Massage, Pool / Beach Towels, Pool with View, 24-Hour Security, Sun Loungers / Beach Chairs, Sun Terrace, Sun Umbrellas, Taxi Service, Blackout Curtains, First Aid Kit, French, Highchairs Available, Manicure, Neck Massage, Outdoor Dining Area, Pedicure, Umbrella, Beach Access",274.5,3.0,0,"padang padang, bamboo structure, recycled wood, air conditioning system, welcome drink, infinity pool, the hotel manager, rooms are beautiful, little things, main pool","Check reviews, confirm manager availability, have a backup, and document issues for refund claims. Wifi is a bit bad - but everything else is 10/10.",12
Bintang Kuta Hotel,HOTEL,hotel,4.0,$,$41 - $60,-8.733919,115.166954,Kuta,Indonesia,"Kuta, Kuta District, Bali",4.1,591,62,#62 of 415 hotels in Kuta,4.08760738372802,,"Bintang Kuta Hotel is a rated hotel located in the prime location of Jalan Kartika Plaza. it has a direct access to the well-known South kuta Beach, Shopping Centre and Entertainment district.The hotel is approximately 10 minutes from the Ngurah Rai International Airport, and only a minutes to walk to the heart of Kuta with its happening nightlife.",sister hotel,lippo mall,swim up bar,staying at this hotel,pool area,money exchange,clean hotel,facilities,wifi,bali,Suggest requesting Pool facing rooms ,"Good base for sight seeing tours or transit, but not for big resort lovers.","Internet, Free Internet, Free Wifi, Pool, Room service, Bar/Lounge, Free parking, Wheelchair access, Restaurant, Public Wifi, Breakfast included, Non-smoking rooms, Business center, Laundry Service, Concierge, Banquet Room, Air conditioning, Family Rooms, Multilingual Staff, Refrigerator in room, Conference Facilities, Swimup Bar, Flatscreen TV, Breakfast Buffet, Poolside Bar, Outdoor pool, Parking, Baggage Storage, Bottled Water, 24-Hour Check-in, Coffee / Tea Maker, Desk, English, Suites, Airport transportation, Wifi, Dry Cleaning, Meeting rooms, Hot Tub, Smoking rooms available, Safe, Private Beaches, Bath / Shower, Coffee Shop, Complimentary Toiletries, Complimentary Welcome Drink, 24-Hour Front Desk, Hair Dryer, Indonesian, Seating Area, Shops, Telephone, Valet Parking, Beach Access",50.5,1.0,1,"sister hotel, lippo mall, swim up bar, staying at this hotel, pool area, money exchange, clean hotel, facilities, wifi, bali","Suggest requesting Pool facing rooms Good base for sight seeing tours or transit, but not for big resort lovers.",62
Kamandalu Ubud,HOTEL,hotel,5.0,$$$,$215 - $283,-8.495561,115.27585,Ubud,Indonesia,"Ubud, Gianyar Regency, Bali",4.7,1533,65,#65 of 503 hotels in Ubud,4.7579436302185,"Nestled in a peaceful setting near Ubud's attractions, Kamandalu Ubud is celebrated for its serene ambiance and luxury villas complete with private pools. Guests often highlight the spacious, well-appointed rooms and commend the staff for their exceptional service. While some guests feel the pricing could offer better value, the hotel's cleanliness, range of amenities—including indulgent spa treatments—and the beautiful environment generally leave a lasting impression on visitors seeking tranquility and relaxation.","Kamandalu Ubud is a 5-star boutique resort and spa located conveniently in a serene area of Ubud, Bali, a place long famed for its rice terraces and Balinese traditional arts. The resort's compound of 58 luxurious villas is a resemblance to an enchanting Balinese village. Individually designed with a thatched roof, each villa features a spacious bedroom complete with modern amenities and outdoor showers. For the ultimate privacy, some villas have private swimming pools. The resort is beautifully nestled between the green rice paddies and the tropical valley, just a 10-minute drive from the center of Ubud with a complimentary scheduled shuttle service to the center of Ubud. The resort is an hour comfortable drive from Ngurah Rai International Airport on well-paved roads. Airport pick-ups and limousine services can be arranged by the resort.",infinity pool,outdoor shower,forest spa,garden villa,our honeymoon,day bed,romantic dinner,main pool,rice fields,resort is beautiful,"The swimming pool is so deep, so a arm tube is essential. Make sure to use the cocktail and afternoon tea free service. ",Bring an umbrella in Dec!,"Pool, Free parking, Internet, Free Internet, Free Wifi, Suites, Meeting rooms, Dry Cleaning, Laundry Service, Banquet Room, Family Rooms, Kids Activities, Room service, Wheelchair access, Restaurant, Bar/Lounge, Spa, Airport transportation, Wifi, Public Wifi, Breakfast included, Non-smoking rooms, Business center, Concierge, Air conditioning, Multilingual Staff, Refrigerator in room, Minibar, Conference Facilities, Babysitting, Safe, Swimup Bar, Flatscreen TV, Breakfast Buffet, Poolside Bar, Private Balcony, Butler Service, Infinity Pool, Outdoor pool, Private Pools, Breakfast Available, Parking, Free Shuttle or Taxi Services, Facilities for Disabled Guests, Housekeeping, Kids Club, Baggage Storage, Bathrobes, Bottled Water, Breakfast in the Room, Bridal Suite, 24-Hour Check-in, Complimentary Tea, Couples Massage, Doorperson, Entertainment Staff, Facial Treatments, 24-Hour Front Desk, Full Body Massage, Gift Shop, Head Massage, Indonesian, Ironing Service, Massage, Outdoor Furniture, Pool / Beach Towels, Pool with View, Private Check-in / Check-out, Salon, Seating Area, 24-Hour Security, Secured Parking, Snack Bar, Special Diet Menus, Sun Umbrellas, Taxi Service, VIP Room Facilities, Shuttle Bus Service, Kids pool, BBQ Facilities",249.0,3.0,0,"infinity pool, outdoor shower, forest spa, garden villa, our honeymoon, day bed, romantic dinner, main pool, rice fields, resort is beautiful","The swimming pool is so deep, so a arm tube is essential. Make sure to use the cocktail and afternoon tea free service. Bring an umbrella in Dec!",65
Disini Luxury Spa Villas,HOTEL,hotel,4.5,$,$48 - $134,-8.683084,115.159996,Kerobokan Kelod,Indonesia,"Kerobokan Kelod, North Kuta, Bali",4.5,407,34,#34 of 89 hotels in Kerobokan Kelod,4.11296796798706,,"Disini Luxury Spa Villas is an exceptional 5-star quality boutique villa resort nestled within the opulent lifestyle area of Seminyak, consisting of 22 ""Tropical Elegance"" style villa with infinity pool, spacious living/dining area and European kitchen, enclosed within a beautifully manicured garden. Kingsize bedroom adjoints an ensuite spa, marble bath & separate shower room. Each of the Disini Luxury Spa Villas is designed and decorated in elegant Balinese style. Daily gourmet breakfast, 24-hr bulter service and unlimited shuttle drop-off is inclusive.",massage table,private pool,living area,water cooler,golf buggy,the air conditioning,seminyak square,villa,bedroom,bali,"Make sure you have a pool room
There were better hotels with more options locally for the same money too",whatsapp the desk anytime for help :) they are the best,"Pool, Room service, Internet, Free Internet, Wifi, Free Wifi, Breakfast included, Suites, Kitchenette, Spa, Airport transportation, Dry Cleaning, Non-smoking rooms, Laundry Service, Concierge, Air conditioning, Multilingual Staff, Refrigerator in room, Safe, Flatscreen TV, Butler Service, Private Pools, Breakfast in the Room, Complimentary Instant Coffee, Massage, Free parking, Hot Tub, Minibar, Beach Access",91.0,1.0,1,"massage table, private pool, living area, water cooler, golf buggy, the air conditioning, seminyak square, villa, bedroom, bali",Make sure you have a pool room There were better hotels with more options locally for the same money too whatsapp the desk anytime for help :) they are the best,34
Ubud Padi Villas,HOTEL,hotel,4.0,$,$69 - $114,-8.487937,115.24799,Kedewatan,Indonesia,"Kedewatan, Ubud, Gianyar Regency, Bali",4.6,439,1,#1 of 6 villas in Kedewatan,4.51421022415161,,"Ubud Padi Villas is a unique wooden villa with spectacular views of rice field and Agung Mountain. The villa location is great for those who seek a clean environment and enjoy nature. Fresh in the air. Imagine sitting on the terrace, watching beautiful sunrise, fire fly and the stars in the evening with amazing sound of nature. You will always remember when you stay in this villa, A peaceful and relaxing location, perfect for relieving stress. Ubud Padi Villa is situated in a strategic place in Ubud, Bali. It takes only about five minutes to get Ubud Interesting point. Many restaurants, art shops, clothes shops, souvenirs shops, cafes, bars and clubs are available near the villa area. Be Part of the daily farmer's live and see how they cultivate their land traditionally and the culture. We will show a apart of Bali. Culture, nature, people, energy and tradition.",rice fields,private pool,villa,,,,,,,,"Dinners can take a while, so order earlier than you would normally. Book breakfast the day before to ensure you get the time slot you want.",Pay a deposit!,"Internet, Free Internet, Wifi, Free Wifi, Pool, Room service, Free parking, Spa, Airport transportation, Laundry Service, Shuttle Bus Service, Restaurant, Bar/Lounge, Breakfast included, Dry Cleaning, Concierge, Multilingual Staff, Safe, Flatscreen TV, Private Balcony, Infinity Pool, Outdoor pool, Private Pools, Free Shuttle or Taxi Services, Breakfast in the Room, 24-Hour Check-in, Couples Massage, Foot Massage, Full Body Massage, Indonesian, Breakfast Available, Parking, Allergy-free Room, Bathrobes, Blackout Curtains, Cable / Satellite TV, Coffee / Tea Maker, Electric Kettle, Extra Long Beds, iPod Docking Station, Landmark View, On-Demand Movies, Pool View, Soundproof Rooms",91.5,1.0,1,"rice fields, private pool, villa","Dinners can take a while, so order earlier than you would normally. Book breakfast the day before to ensure you get the time slot you want. Pay a deposit!",1
Maua Nusa Penida,HOTEL,hotel,4.5,$$,$119 - $146,-8.70262,115.475296,Sakti,Indonesia,"Sakti, Nusa Penida, Bali",4.8,303,3,#3 of 18 hotels in Sakti,4.7773790359497,"Māua Nusa Penida is celebrated for its immaculate cleanliness and luxurious amenities, with guests often lauding the stunning views and tranquil atmosphere that foster a serene escape. While the hotel's service receives acclaim for its attentiveness and friendliness, there are occasional mentions of slower service. The elegant rooms are a highlight, adding to the overall restorative experience. However, some guests feel that the costs, especially for transport and food, can be steep, despite the hotel's exceptional and peaceful location.","MĀUA Nusa Penida – Bali is a 5-star resort, located on Nusa Penida island, nestled on the hilltop of Gamat Bay. Nusa Penida is a spectacular destination, easily accessible from Bali that has remained unknown for too long. During recent years it has become a destination for explorers wanting to return to nature. At MĀUA Nusa Penida, it will at last be possible to discover and enjoy this amazing destination with hilltop views over Gamat Bay, from the comfort of an iconic international 5-star resort. It takes about 30 minutes by ferry from Sanur and 20 minutes drive from Nusa Penida ferry terminal",private pool,check in process,nusa penida,our honeymoon,spa treatments,sunset view,rooms are amazing,an unforgettable experience,treated like family,for making our stay so memorable,Book your Drivers  in advance or find one of the many when you arrive with the boat on the harbor! You will need one to go places �,It is just a perfect hideaway! ,"Pool, Suites, Room service, Free parking, Restaurant, Bar/Lounge, Spa, Free Wifi, Breakfast included, Dry Cleaning, Non-smoking rooms, Fitness center, Laundry Service, Concierge, Air conditioning, Minibar, Safe, Infinity Pool, Outdoor pool, Private Pools, Breakfast Available, Housekeeping, Baggage Storage, Blackout Curtains, Bottled Water, Breakfast in the Room, 24-Hour Check-in, Coffee / Tea Maker, Complimentary Tea, Diving, English, Complimentary Instant Coffee, Complimentary Toiletries, 24-Hour Front Desk, Ironing Service, Pool / Beach Towels, 24-Hour Security, Special Diet Menus, Sun Loungers / Beach Chairs, Taxi Service, Airport transportation, Family Rooms, Flatscreen TV, Private Balcony, Kids pool, Bathrobes, Boating, Cable / Satellite TV, Car Hire, Clothes Rack, Couples Massage, Desk, Electric Kettle, First Aid Kit, Fishing, Foot Bath, Foot Massage, Free Private Parking Nearby, Complimentary Welcome Drink, Full Body Massage, Hair Dryer, Happy Hour, Indonesian, Iron, Kids' Meals, Massage, Mosquito Net, Mountain View, Neck Massage, Outdoor Dining Area, Pool with View, Private Bathrooms, Seating Area, Separate Living Room, Snack Bar, Snorkeling, Sofa, Sun Deck, Sun Terrace, Sun Umbrellas",132.5,2.0,0,"private pool, check in process, nusa penida, our honeymoon, spa treatments, sunset view, rooms are amazing, an unforgettable experience, treated like family, for making our stay so memorable",Book your Drivers in advance or find one of the many when you arrive with the boat on the harbor! You will need one to go places � It is just a perfect hideaway!,3
"InterContinental Bali Sanur Resort, an IHG hotel",HOTEL,hotel,5.0,$$$,$212 - $281,-8.706062,115.26299,Sanur,Indonesia,"Sanur, Denpasar, Bali",4.2,302,29,#29 of 108 hotels in Sanur,4.21144676208496,"Nestled on a pristine beachfront, the InterContinental Bali Sanur Resort is celebrated for its excellent location, providing guests with breathtaking scenic views and convenient access to local attractions. While the resort's atmosphere is generally regarded as stylish and comfortable, some guests have noted that the rooms, despite being spacious, could benefit from modernization and maintenance improvements. The hotel's cleanliness and friendly service have received high praise, although the value proposition has been questioned due to unexpected charges. The amenities, including the expansive breakfast and ocean-view rooms, are popular, yet they also echo the call for updates.","Set amidst four hectares of lush tropical gardens in the Sanur district of Southeast Bali, InterContinental Bali Sanur Resort is the charming beachfront destination where luxury meets Balinese hospitality. Each of the resort's 120 suites and villas offers expansive space, privacy, and comfort. The resort is a 25-minute drive away from the Ngurah Rai International Airport, with a wide range of restaurants in the area. Discover the InterContinental life with day trips to the best spots in Bali.",pier restaurant,layang layang,beautiful ocean view,free flow,renovated room,complimentary massage,amazing room,garden suite,junior suite,beautiful resort,"Not worth the cost, recommend to looks for another hotel . ","If you’re on the top floor, turn the shower on 5 minutes before you get in, to allow the hot water to reach you.","Pool, Internet, Kids Activities, Beachfront, Suites, Room service, Free Internet, Free parking, Wheelchair access, Restaurant, Bar/Lounge, Pets Allowed, Spa, Airport transportation, Wifi, Public Wifi, Free Wifi, Paid Wifi, Paid Internet, Breakfast included, Dry Cleaning, Meeting rooms, Non-smoking rooms, Tennis Court, Business center, Fitness center, Laundry Service, Concierge, Banquet Room, Air conditioning, Multilingual Staff, Minibar, Conference Facilities, Babysitting, Non-smoking hotel, Safe, Flatscreen TV, Breakfast Buffet, Private Balcony, Butler Service, Kids pool, Outdoor pool, Private Pools, Breakfast Available, Parking, Facilities for Disabled Guests, Housekeeping, Kids Club, Additional Bathroom, Baggage Storage, Bath / Shower, Bathrobes, Blackout Curtains, Bottled Water, Breakfast in the Room, Cable / Satellite TV, Car Hire, 24-Hour Check-in, Children's Television Networks, Clothes Rack, Coffee / Tea Maker, Couples Massage, Desk, Dining Area, Doorperson, Electric Kettle, English, Facial Treatments, First Aid Kit, Foot Massage, Free Private Parking Nearby, Free Public Parking Nearby, Complimentary Toiletries, Complimentary Welcome Drink, 24-Hour Front Desk, Full Body Massage, Hair Dryer, Hand Massage, Happy Hour, Head Massage",246.5,3.0,0,"pier restaurant, layang layang, beautiful ocean view, free flow, renovated room, complimentary massage, amazing room, garden suite, junior suite, beautiful resort","Not worth the cost, recommend to looks for another hotel . If you’re on the top floor, turn the shower on 5 minutes before you get in, to allow the hot water to reach you.",29
The ONE Legian,HOTEL,hotel,4.0,$,$26 - $39,-8.714031,115.173615,Legian,Indonesia,"Legian, Kuta District, Bali",4.0,3242,19,#19 of 136 hotels in Legian,4.51642608642578,"The ONE Legian hotel garners appreciation for its exceptional cleanliness and its prime position in the heart of Kuta, a stone's throw from the beach and vibrant nightlife. While the rooms are celebrated for their tidiness and comfort, a few guests find them to be on the smaller side and occasionally noisy. The hotel's amenities, including multiple pools and a diverse breakfast, are popular, though some visitors suggest room enhancements. Service is highly commended for its friendliness and professionalism, yet not without a few notes on inconsistency. The hotel's value receives mixed reviews, with the affordability and staff commendations contending with critiques on charges.","The ONE Legian has been blessed with 177 Superior Rooms & 124 Deluxe Rooms and other diversified array of chic & trendy room options to choose from. Each room is uniquely designed by harmoniously blending a modern urban touch, decorated in warm and hip tones, adding to the lifestyle nuance and complemented by modern facilities to ensure not only comfort but also accommodate the fast pace of young living. Facilities include a 24-hour reception, tourist information, money changer, spacious lobby lounge, mini gym, meeting rooms, and sky pool. Pampers your senses with The SPA, offers a traditional Balinese Asia specialties treatment to harmonize body and soul. Rooftop Dine & Music Lounge offers a panoramic view of Legian and Kuta Sunset. The DECK Restaurant & Bar welcomes you to enjoy classic traditional Indonesian cuisine while enjoying the hustle and bustl of Legian Street. Sky Pool Bar serves BBQ and sumptuous light meal that perfectly enjoyed beside the pool with favorite cocktail.",sky pool,kuta beach,strategic location,standard room,buffet breakfast,ground floor,skypool,security,bali,clubs,Avoid this nightmare,Try & get a room toward the back.,"Internet, Free Internet, Wifi, Free Wifi, Laundry Service, Pool, Room service, Business center, Free parking, Bar/Lounge, Fitness center, Suites, Wheelchair access, Restaurant, Spa, Airport transportation, Breakfast included, Dry Cleaning, Meeting rooms, Non-smoking rooms, Concierge, Banquet Room, Air conditioning, Multilingual Staff, Accessible rooms, Refrigerator in room, Conference Facilities, Safe, Rooftop Bar, Rooftop Pool, Flatscreen TV, Rooftop Terrace, Breakfast Buffet, Poolside Bar, Private Balcony, Outdoor pool, Breakfast Available, Parking, Facilities for Disabled Guests, Housekeeping, Baggage Storage, Car Hire, 24-Hour Check-in, Currency Exchange, Doorperson, English, Facial Treatments, Foot Massage, Complimentary Instant Coffee, 24-Hour Front Desk, Full Body Massage, Indonesian, Ironing Service, Massage, Nightclub / DJ, Pool / Beach Towels, 24-Hour Security, Secured Parking, Sun Loungers / Beach Chairs, Sun Terrace, Taxi Service, Beach Access",32.5,1.0,0,"sky pool, kuta beach, strategic location, standard room, buffet breakfast, ground floor, skypool, security, bali, clubs",Avoid this nightmare Try & get a room toward the back.,19
